p,aic,bic
1,3703.383572209081,3717.654369376824
2,3704.899806405218,3723.9275359622084
3,3703.652975088084,3727.437637034322
4,3704.1823816531573,3732.7239759886425
5,3704.6918447881744,3737.990371512907
6,3701.9837911525165,3740.0392502664968
7,3694.593540193151,3737.405931696379
8,3696.527707133211,3744.0970310256866
9,3698.1056235017695,3750.4318797834926
10,3699.371467259401,3756.4546559303717
11,3697.557969024806,3759.3980900850243
12,3698.5099927098818,3765.1070461593476
13,3698.6980496001665,3770.05203543888
14,3697.594396795892,3773.705315023853
15,3699.033390417717,3779.901241034925
16,3698.2014076059236,3783.8261906123794
17,3697.5989406802714,3787.980656075975
18,3698.4784619226443,3793.6171097075953
19,3700.456367046187,3800.3519472203857
20,3702.4389604612434,3807.0914730246895
