order,p,d,q,aic,bic
"(0, 0, 0)",0,0,0,6910.853046311246,6920.366911089741
"(0, 0, 1)",0,0,1,5890.340670527872,5904.611467695615
"(0, 0, 2)",0,0,2,5213.515316471685,5232.543046028675
"(0, 0, 3)",0,0,3,4804.514651661462,4828.2993136077
"(0, 0, 4)",0,0,4,4578.5649247734955,4607.106519108981
"(0, 0, 5)",0,0,5,4354.900182077012,4388.198708801745
"(0, 0, 6)",0,0,6,4241.927674292931,4279.983133406912
"(0, 0, 7)",0,0,7,4158.763753532448,4201.576145035677
"(0, 1, 0)",0,1,0,3695.014187201648,3699.7699561236323
"(0, 1, 1)",0,1,1,3696.6854698925295,3706.197007736498
"(0, 1, 2)",0,1,2,3695.3209555701105,3709.5882623360635
"(0, 1, 3)",0,1,3,3693.4732957711317,3712.4963714590685
"(0, 1, 4)",0,1,4,3694.967012416185,3718.745857026106
"(0, 1, 5)",0,1,5,3692.365673275166,3720.9002868070716
"(0, 1, 6)",0,1,6,3686.014941707343,3719.305324161233
"(0, 1, 7)",0,1,7,3688.0121629239425,3726.0583142998166
"(0, 2, 0)",0,2,0,4269.906917566861,4274.661521666349
"(0, 2, 1)",0,2,1,3700.2951985090895,3709.8044067080655
"(0, 2, 2)",0,2,2,3701.929646785183,3716.193459083647
"(0, 2, 3)",0,2,3,3700.683016504952,3719.701432902904
"(0, 2, 4)",0,2,4,3698.946888307073,3722.719908804513
"(0, 2, 5)",0,2,5,3700.399560302518,3728.9271848994454
"(0, 2, 6)",0,2,6,3697.878507434622,3731.1607361310375
"(0, 2, 7)",0,2,7,3691.5009474889202,3729.537780284824
"(1, 0, 0)",1,0,0,3703.383572209081,3717.654369376824
"(1, 0, 1)",1,0,1,3704.833074721533,3723.8608042785236
"(1, 0, 2)",1,0,2,3704.081667957227,3727.866329903465
"(1, 0, 3)",1,0,3,3702.875043531019,3731.416637866504
"(1, 0, 4)",1,0,4,3704.074059402905,3737.3725861276375
"(1, 0, 5)",1,0,5,3702.140444152489,3740.1959032664695
"(1, 0, 6)",1,0,6,3696.2417712896613,3739.054162792889
"(1, 0, 7)",1,0,7,3698.2308696537557,3745.800193546231
"(1, 1, 0)",1,1,0,3696.728466562521,3706.24000440649
"(1, 1, 1)",1,1,1,3694.0207617251654,3708.2880684911183
"(1, 1, 2)",1,1,2,3691.330200657041,3710.353276344978
"(1, 1, 3)",1,1,3,3693.30010079797,3717.0789454078913
"(1, 1, 4)",1,1,4,3695.037027910426,3723.5716414423314
"(1, 1, 5)",1,1,5,3689.1594847266097,3722.4498671804995
"(1, 1, 6)",1,1,6,3688.0121887960704,3726.0583401719446
"(1, 1, 7)",1,1,7,3690.0124975945064,3732.814417892365
"(1, 2, 0)",1,2,0,4070.843310136933,4080.352518335909
"(1, 2, 1)",1,2,1,3701.976807043695,3716.240619342159
"(1, 2, 2)",1,2,2,3701.3594886329165,3720.3779050308685
"(1, 2, 3)",1,2,3,3703.3212634171086,3727.0942839145487
"(1, 2, 4)",1,2,4,3703.018802262649,3731.5464268595765
"(1, 2, 5)",1,2,5,3700.1925332300234,3733.474761926439
"(1, 2, 6)",1,2,6,3700.8795223363804,3738.916355132284
"(1, 2, 7)",1,2,7,3695.198352489206,3737.9897893845978
"(2, 0, 0)",2,0,0,3704.899806405218,3723.9275359622084
"(2, 0, 1)",2,0,1,3704.392073005978,3728.176734952216
"(2, 0, 2)",2,0,2,3701.470274002337,3730.0118683378223
"(2, 0, 3)",2,0,3,3703.7582079277645,3737.056734652497
"(2, 0, 4)",2,0,4,3705.5718326442375,3743.627291758218
"(2, 0, 5)",2,0,5,3699.4618100789417,3742.2742015821696
"(2, 0, 6)",2,0,6,3698.231357958224,3745.8006818506997
"(2, 0, 7)",2,0,7,3700.231460505401,3752.5577167871243
"(2, 1, 0)",2,1,0,3694.9099666943575,3709.1772734603105
"(2, 1, 1)",2,1,1,3691.316343666622,3710.3394193545587
"(2, 1, 2)",2,1,2,3680.4603627158776,3704.239207325799
"(2, 1, 3)",2,1,3,3694.516509534764,3723.0511230666693
"(2, 1, 4)",2,1,4,3695.527156713666,3728.817539167556
"(2, 1, 5)",2,1,5,3689.6515460385926,3727.697697414467
"(2, 1, 6)",2,1,6,3690.011501425408,3732.8134217232664
"(2, 1, 7)",2,1,7,3692.012131156323,3739.5698203761654
"(2, 2, 0)",2,2,0,3974.133781183631,3988.397593482095
"(2, 2, 1)",2,2,1,3700.2653355729362,3719.2837519708883
