seq_length,lstm_units,n_layers,dropout_rate,learning_rate,batch_size,val_loss,val_mae,epochs_trained
15,128,1,0.2,0.001,16,0.015072675421833992,0.09644804149866104,12
10,128,1,0.2,0.001,32,0.015917038545012474,0.10244446992874146,19
15,64,1,0.1,0.001,16,0.016753360629081726,0.10302125662565231,12
10,128,1,0.3,0.0005,32,0.016946718096733093,0.10512684285640717,29
10,128,1,0.3,0.001,16,0.01701057329773903,0.1058163270354271,12
10,64,1,0.2,0.001,16,0.01713489554822445,0.1058463528752327,20
10,128,1,0.3,0.0005,16,0.01722334884107113,0.10693542659282684,25
20,64,1,0.2,0.0005,16,0.017321573570370674,0.10420338064432144,26
15,128,1,0.2,0.0005,16,0.017586350440979004,0.10265326499938965,15
10,128,1,0.3,0.001,32,0.017946666106581688,0.10729807615280151,16
10,128,1,0.2,0.0005,32,0.018386881798505783,0.10878856480121613,22
15,128,1,0.3,0.0005,16,0.018991807475686073,0.10836227983236313,18
10,128,1,0.2,0.001,16,0.019173862412571907,0.11252456158399582,22
20,128,1,0.2,0.0005,32,0.020418070256710052,0.11541014909744263,24
15,128,1,0.1,0.001,16,0.020805424079298973,0.11673024296760559,14
10,64,1,0.3,0.0005,16,0.0208399947732687,0.11361100524663925,40
10,32,1,0.3,0.0005,32,0.020899027585983276,0.11664304882287979,33
15,32,1,0.2,0.0005,16,0.020946243777871132,0.11756420880556107,52
10,32,2,0.1,0.001,16,0.02111058495938778,0.11730301380157471,26
20,64,1,0.3,0.0005,16,0.021118486300110817,0.11808281391859055,18
15,128,1,0.3,0.0005,32,0.021184932440519333,0.11219263821840286,18
10,32,1,0.3,0.001,16,0.021190335974097252,0.11802375316619873,18
10,64,1,0.3,0.001,16,0.02205912582576275,0.11691344529390335,19
10,64,2,0.3,0.001,16,0.022525586187839508,0.12242764234542847,20
20,64,2,0.3,0.0005,16,0.02255421131849289,0.12176746875047684,16
15,64,1,0.3,0.001,32,0.022691765800118446,0.11872059851884842,42
15,128,2,0.1,0.001,16,0.02282637357711792,0.1252756416797638,19
10,32,1,0.3,0.001,32,0.022830918431282043,0.12350589036941528,33
20,128,1,0.3,0.001,16,0.02314985916018486,0.12451224774122238,21
10,128,1,0.2,0.0005,16,0.02325483225286007,0.12398406118154526,16
10,128,1,0.1,0.001,16,0.02334235981106758,0.12438990920782089,15
20,64,1,0.2,0.001,16,0.02344677411019802,0.12409874051809311,15
15,128,1,0.2,0.001,32,0.023666182532906532,0.12184903025627136,14
20,128,2,0.3,0.001,16,0.023753933608531952,0.12184872478246689,16
15,32,1,0.3,0.0005,16,0.024635516107082367,0.12231091409921646,51
15,128,1,0.1,0.001,32,0.02470821887254715,0.13102294504642487,13
20,128,2,0.2,0.001,16,0.025066280737519264,0.12414663285017014,13
10,128,2,0.3,0.0005,32,0.025295721367001534,0.12943010032176971,22
15,128,2,0.3,0.001,32,0.02586241066455841,0.1289190948009491,16
15,128,2,0.3,0.001,16,0.026029366999864578,0.1290128380060196,16
20,32,1,0.3,0.001,16,0.026657842099666595,0.13323408365249634,37
20,128,2,0.1,0.001,16,0.026812585070729256,0.12998045980930328,11
10,128,2,0.3,0.001,32,0.026913588866591454,0.1342034935951233,27
15,64,1,0.3,0.001,16,0.027025291696190834,0.13303878903388977,12
15,64,1,0.2,0.001,16,0.02742942050099373,0.14057192206382751,22
10,128,2,0.2,0.001,16,0.027732999995350838,0.1323692947626114,13
10,128,1,0.1,0.0005,32,0.02832929603755474,0.13976521790027618,32
20,64,1,0.3,0.001,32,0.028541602194309235,0.1418137103319168,34
10,32,1,0.2,0.0005,32,0.02872057445347309,0.13895860314369202,38
10,64,1,0.3,0.001,32,0.028794091194868088,0.13939811289310455,31
10,32,1,0.1,0.0005,16,0.028800254687666893,0.1402282416820526,49
20,64,2,0.3,0.001,16,0.02883429080247879,0.13815924525260925,28
20,128,2,0.3,0.001,32,0.02886180207133293,0.137258842587471,13
15,64,1,0.1,0.0005,16,0.029130039736628532,0.14187666773796082,12
15,128,2,0.2,0.001,16,0.029452895745635033,0.13775774836540222,14
15,128,2,0.3,0.0005,32,0.029658490791916847,0.1385103315114975,17
15,128,2,0.3,0.0005,16,0.030282001942396164,0.1387399286031723,22
10,128,1,0.1,0.001,32,0.031556617468595505,0.14457209408283234,27
15,128,1,0.3,0.001,32,0.03226926922798157,0.14680249989032745,16
15,128,2,0.2,0.001,32,0.03258166089653969,0.14497649669647217,14
20,64,1,0.2,0.001,32,0.03277026116847992,0.14798521995544434,43
20,128,2,0.3,0.0005,32,0.0332920178771019,0.14704126119613647,24
20,128,1,0.3,0.001,32,0.03349241986870766,0.14908373355865479,22
15,128,2,0.2,0.0005,16,0.03351951017975807,0.14675438404083252,17
10,128,2,0.1,0.0005,32,0.033598750829696655,0.14828373491764069,16
15,128,1,0.1,0.0005,16,0.034132055938243866,0.1562097817659378,21
10,32,2,0.2,0.0005,32,0.0342593677341938,0.15011107921600342,38
10,128,2,0.2,0.0005,16,0.034261103719472885,0.14879336953163147,16
15,32,1,0.1,0.0005,16,0.03448107838630676,0.15244115889072418,27
15,128,2,0.1,0.001,32,0.03474459797143936,0.15010955929756165,16
20,32,1,0.1,0.001,32,0.034849029034376144,0.1450851708650589,59
20,128,2,0.3,0.0005,16,0.034863151609897614,0.15227405726909637,17
